# Sign up here if you are planning to run some analyses that you can post back here for others to take advantage of.
Region,github user id,Sign Up date,expected completion date,status
Qatar,,,,pending
Romania,,,,pending
Russia,,,,pending
Rwanda,,,,pending
Saint Kitts and Nevis,,,,pending
Saint Lucia,,,,pending
Saint Vincent and the Grenadines,,,,pending
Samoa,,,,pending
San Marino,,,,pending
Sao Tome and Principe,,,,pending
Saudi Arabia,,,,pending
Senegal,,,,pending
Serbia,,,,pending
Seychelles,,,,pending
Sierra Leone,,,,pending
Singapore,,,,pending
Slovakia,,,,pending
Slovenia,,,,pending
Solomon Islands,,,,pending
Somalia,,,,pending
South Africa,,,,pending
South Korea,,,,pending
South Sudan,,,,pending
Spain,,,,pending
Sri Lanka,,,,pending
Sudan,,,,pending
Suriname,,,,pending
Sweden,,,,pending
Switzerland,,,,pending
Syria,,,,pending
Taiwan,,,,pending
Tajikistan,,,,pending
Tanzania,,,,pending
Thailand,,,,pending
Timor-Leste,,,,pending
Togo,,,,pending
Tonga,,,,pending
Trinidad and Tobago,,,,pending
Tunisia,,,,pending
Turkey,,,,pending
Turkmenistan,,,,pending
Tuvalu,,,,pending
Uganda,,,,pending
Ukraine,,,,pending
United Arab Emirates,,,,pending
United Kingdom,,,,pending
Uruguay,,,,pending
Uzbekistan,,,,pending
Vanuatu,,,,pending
Vatican City,,,,pending
Venezuela,,,,pending
Vietnam,,,,pending
Yemen,,,,pending
Zambia,,,,pending
Zimbabwe,,,,pending
